origin,destination,travelTime,entryTime,exitTime,travelDistance
13,8,55.2019999999975,25205.326,25260.528,NaN
13,8,54.06500000000233,25206.727,25260.792,NaN
12,8,48.21700000000055,25206.771,25254.988,NaN
12,8,44.507000000001426,25208.545,25253.052,NaN
12,8,47.775000000001455,25212.816,25260.591,NaN
12,8,47.177999999999884,25214.214,25261.392,NaN
12,8,50.215000000000146,25215.383,25265.598,NaN
12,8,48.98500000000058,25218.083,25267.068,NaN
12,6,62.297999999998865,25220.856,25283.154,NaN
3,12,63.5480000000025,25221.103,25284.651,NaN
12,6,64.5010000000002,25222.589,25287.09,NaN
12,6,61.20300000000134,25226.923,25288.126,NaN
12,6,58.53100000000268,25227.225,25285.756,NaN
-1,3,58.80699999999706,25234.205,25293.012,NaN
10,6,31.54099999999744,25237.597,25269.138,NaN
13,3,64.49799999999959,25238.294,25302.792,NaN
12,6,46.25299999999697,25239.203,25285.456,NaN
-1,6,18.002000000000407,25246.932,25264.934,NaN
12,8,39.10599999999977,25260.762,25299.868,NaN
3,12,69.4910000000018,25263.547,25333.038,NaN
1,14,64.28099999999904,25263.827,25328.108,NaN
-1,6,65.36100000000079,25264.708,25330.069,NaN
2,7,32.10699999999997,25267.849,25299.956,NaN
12,6,52.022000000000844,25269.404,25321.426,NaN
12,6,47.452000000001135,25274.34,25321.792,NaN
1,6,31.8070000000007,25274.671,25306.478,NaN
12,8,49.61499999999796,25276.38,25325.995,NaN
12,3,70.62299999999959,25280.284,25350.907,NaN
10,-1,29.079000000001543,25286.081,25315.16,NaN
1,6,32.60599999999977,25287.619,25320.225,NaN
14,8,46.36999999999898,25288.432,25334.802,NaN
1,6,22.39300000000003,25288.455,25310.848,NaN
1,6,32.60499999999956,25289.787,25322.392,NaN
1,6,23.04099999999744,25290.344,25313.385,NaN
10,14,32.78299999999945,25291.685,25324.468,NaN
10,-1,28.30699999999706,25291.757,25320.064,NaN
10,13,38.766999999999825,25292.924,25331.691,NaN
10,14,26.60899999999674,25293.455,25320.064,NaN
10,14,39.29000000000087,25294.022,25333.312,NaN
-1,7,28.766999999999825,25295.048,25323.815,NaN
10,12,39.516999999999825,25295.155,25334.672,NaN
10,14,37.55199999999968,25295.36,25332.912,NaN
12,10,38.30000000000291,25296.832,25335.132,NaN
10,14,38.155000000002474,25298.225,25336.38,NaN
10,-1,37.64799999999741,25298.629,25336.277,NaN
10,14,38.85699999999997,25299.059,25337.916,NaN
12,8,51.91699999999764,25299.633,25351.55,NaN
10,13,53.348000000001775,25300.832,25354.18,NaN
10,-1,39.788000000000466,25300.832,25340.62,NaN
14,8,46.16899999999805,25300.879,25347.048,NaN
3,8,48.49699999999939,25301.323,25349.82,NaN
12,8,56.02100000000064,25302.536,25358.557,NaN
10,13,44.40799999999945,25302.698,25347.106,NaN
10,14,42.32600000000093,25302.966,25345.292,NaN
10,12,41.1830000000009,25303.297,25344.48,NaN
13,3,76.34300000000076,25303.36,25379.703,NaN
10,12,41.61999999999898,25303.365,25344.985,NaN
10,14,36.79899999999907,25303.433,25340.232,NaN
