origin,destination,travelTime,entryTime,exitTime,travelDistance
1,6,23.43500000000131,25200.336,25223.771,NaN
7,6,69.65999999999985,25201.366,25271.026,NaN
14,8,39.53099999999904,25201.559,25241.09,NaN
13,8,68.49099999999817,25201.595,25270.086,NaN
12,8,47.50300000000061,25201.863,25249.366,NaN
12,8,50.335000000002765,25205.135,25255.47,NaN
12,6,70.06300000000192,25205.565,25275.628,NaN
12,7,39.81100000000151,25207.035,25246.846,NaN
12,8,62.28399999999965,25207.502,25269.786,NaN
14,3,76.4890000000014,25207.799,25284.288,NaN
12,8,62.810999999997875,25208.807,25271.618,NaN
12,6,70.7300000000032,25211.707,25282.437,NaN
12,6,48.567000000002736,25214.511,25263.078,NaN
12,6,73.73099999999977,25216.415,25290.146,NaN
12,8,61.07900000000154,25218.747,25279.826,NaN
3,6,25.74699999999939,25219.015,25244.762,NaN
12,8,65.51900000000023,25219.483,25285.002,NaN
12,6,67.39000000000306,25221.92,25289.31,NaN
1,14,67.42900000000009,25223.123,25290.552,NaN
13,3,83.02800000000207,25224.282,25307.31,NaN
12,6,71.56600000000253,25225.119,25296.685,NaN
12,7,68.07200000000012,25230.893,25298.965,NaN
10,6,33.242999999998574,25231.007,25264.25,NaN
3,6,22.21100000000297,25237.403,25259.614,NaN
12,3,73.08299999999872,25241.267,25314.35,NaN
13,6,74.70500000000175,25241.8,25316.505,NaN
12,8,56.23800000000119,25245.712,25301.95,NaN
3,13,78.1740000000027,25247.316,25325.49,NaN
12,5,62.815999999998894,25247.677,25310.493,NaN
3,6,80.76900000000023,25248.784,25329.553,NaN
12,1,80.8189999999995,25252.584,25333.403,NaN
1,6,36.62699999999677,25254.187,25290.814,NaN
1,13,87.37900000000081,25255.295,25342.674,NaN
1,13,91.14999999999782,25256.059,25347.209,NaN
14,5,81.57399999999689,25257.151,25338.725,NaN
6,8,80.18000000000029,25258.11,25338.29,NaN
12,3,70.20699999999852,25258.591,25328.798,NaN
3,11,71.7689999999966,25263.33,25335.099,NaN
12,1,79.95599999999831,25264.163,25344.119,NaN
